namaskara,ನಮಸ್ಕಾರ,hello
svagata,ಸ್ವಾಗತ,welcome
solmelu,ಸೊಲ್ಮೆಲು,thank you
upakara and,ಉಪಕಾರ ಆಂಡ್,thank you for the help
kudora tikkga,ಕುಡೋರ ತಿಕ್ಕ್ ಗ,see you again
barpae,ಬರ್ಪೆ,bye
encha ullar,ಎಂಚ ಉಲ್ಲೆರ್,how are you
saukhya,ಸೌಖ್ಯ,i am fine
onasande,ಒನಸಾಂಡೆ,had lunch
cha paryare,ಚ ಪರ್ಯರೇ,had tea
nashta ande,ನಷ್ಟ ಆಂಡೆ,had breakfast
undu dade,ಉಂದು ದಾದೆ,what is this
gantae etand,ಗಂಟೆ ಏತಾನ್ಡ್,what is the time now
pudar enchine,ಪುದರ್ ಎಂಚಿನ,what is your name
yan kudladd baidae,ಯಂ ಕುಡ್ಲಾಡ್ದ್ ಬೈದೆ,i am from mangalore
yan kudladaye,ಯಂ ಕುಡ್ಲಾಡದಾಯೆ,i am mangalorean
mast samayand tudu,ಮಸ್ತ್ ಸಮಯಾಂಡ್ ತೂದು,long time no see
tulu barpunde,ತುಳು ಬರ್ಪುಂಡೆ,do you speak tulu
annd vantae vantae barpundu,ಅಂದ್ ವಂತೆ ವಂತೆ ಬರ್ಪುಂಡು,yes i speak a little
enk gottundu,ಎಂಕ್ ಗೊತ್ತುಂಡು,i know
enk guttuji,ಎಂಕ್ ಗುತ್ತುಜಿ,i dont know
enk arthaapundu,ಎಂಕ್ ಅರ್ಥಆಪುಂಡು,i can understand
enk arthaapujji,ಎಂಕ್ ಅರ್ಥಾಪುಜ್ಜಿ,i don't understand
vante mella paterle,ವಂತೆ ಮೆಲ್ಲ ಪಾತೆರ್ಲೆ,please speak slowly
kudora panle,ಕುಡೊರ ಪನ್ಲೆ,please say that again
unden tulutu encha panpini,ಉಂದೆನ್ ತುಳುಟು ಎಂಚ ಪನ್ಪಿನಿ,how do you say it in tulu
dayamalt,ದಯಾಮಲ್ತ,please
bega usharale,ಬೇಗ ಉಷಾರಾಲೆ,get well soon
dever eddae malpad,ದೇವೆರ್ ಎಡ್ಡೆ ಮಲ್ಪಡ್,god bless you
untule,ಉಂತುಲೆ,stop
pira pole,ಪಿರ ಪೋಲೆ,go back
yan mulu jappuvae,ಯಂ ಮೂಲು ಜಪ್ಪುವೆ,i want to get down here
kenle,ಕೇನ್ಲೆ,listen
nekk eth,ನೆಕ್ಕ್ ಏತ್,how much is this
eer dura povondullar,ಇರ್ ದೂರ ಪೋವೊಂದುಲ್ಲೆರ್,where are you going
poyi,ಪೊಯಿ,lets go
enk onji upakara malpuvara,ಎಂಕ್ ಒಂಜಿ ಉಪಕಾರ ಮಲ್ಪುವರ,can you help me
ulai bale,ಉಲಯ್ ಬಲೆ,come in
kullule,ಕುಲ್ಲುಲೆ,sit down
mallejji,ಮಲ್ಲೆಜ್ಜಿ,no problem
ireg praya etand,ಇರೆಗ್ ಪ್ರಾಯ ಏತಾನ್ಡ್,how old are you
eddae ratre,ಎಡ್ಡೆ ರಾತ್ರೆ,good night
edde bayya,ಎಡ್ಡೆ ಬಯ್ಯ,good evening
edde madyana,ಎಡ್ಡೆ ಮದ್ಯಾನ,good afternoon
edde kandae,ಎಡ್ಡೆ ಕಾಂಡೆ,good morning
yenna thapu aandu,ಎನ್ನ ತಪು ಆಂಡು,sorry
kshamisi,ಕ್ಷಮಿಸಿ,excuse me
