cat,ಪುಚ್ಚೆ,NN,neuter,puchchae
tree,ಮರ,NN,neuter,mara
bulls,ಎರುಕುಲು,NNS,neuter,erukulu
boys,ಆಣುಲು,NNS,masculine,anulu
rama,ರಾಮ,NNP,masculine,rama
sita,ಸೀತ,NNP,feminine,sita
he,ಇಂಬೇ,PRP,masculine,imbe
she,ಮೊಲು,PRP,feminine,molu
his,ಆಯೇನ,PRP$,masculine,ayena
her,ಅಲೆನ,PRP$,feminine,alena
big,ಮಲ್ಲ,JJ,NULL,malla
bigger,ಮಾಮಲ್ಲ,JJR,NULL,mamalla
biggest,ಬರಿಮಾಮಲ್ಲ,JJS,NULL,barimamalla
all,ಮತ,PDT,NULL,mata
half,ಅರ್ಧ,PDT,NULL,ardha
up,ಮಿತ್ತ್,IN,NULL,mitth
inside,ಉಲಯೇ,IN,NULL,ulaye
outside,ಪಿದಯೇ,IN,NULL,peedaye
down,ತಿರ್ತ್,IN,NULL,tirth
front,ಎದುರು,IN,NULL,ederu
back,ಪೀರೋವ್,IN,NULL,peerove
this,ಉಂದು,DT,NULL,undu
that,ಅವು,DT,NULL,au
one,ಒಂಜಿ,CD,NULL,onji
two,ರಡ್ಡ್,CD,NULL,radd
four,ನಾಲ್,CD,NULL,naal
for,ಐಕ್,CC,NULL,aik
lately,ಪೋರ್ಟದ್,RB,NULL,portad
again,ಕೂಡ,RB,NULL,kuda
everyday,ದಿನೊಲ,RB,NULL,dinola
go,ಪೊ,VB,NULL,po
look,ತು,VB,NULL,tu
keep,ದಿ,VB,NULL,di
bathe,ಮಿ,VB,NULL,mi
come,ಬಾರ್,VB,NULL,bar
eat,ತಿನ್,VB,NULL,tin
die,ಸಾಯಿ,VB,NULL,sai
tell,ಪನ್,VB,NULL,pan
kill,ಕೆರ್,VB,NULL,ker
scold,ನೆರ್,VB,NULL,ner
drink,ಪರ್,VB,NULL,par
give,ಕೊರ್,VB,NULL,kor
write,ಬರೆ,VB,NULL,bare
leave,ಬುಡು,VB,NULL,budu
cook,ಬೆಯ್,VB,NULL,bey
graze,ಮೆ,VB,NULL,me
went,ಪೊಯಿನಿ,VBD,NULL,poyini
looked,ತುಯಿನಿ,VBD,NULL,tuyini
kept,ದಿಯಿನಿ,VBD,NULL,diyini
bathed,ಮಿಯಿನಿ,VBD,NULL,miyini
came,ಬತ್ತಿನಿ,VBD,NULL,battini
ate,ತಿಂದಿನಿ,VBD,NULL,tindini
died,ಸೈತಿನಿ,VBD,NULL,saitini
told,ಪಂಡಿನಿ,VBD,NULL,pandini
killed,ಕೆರಿನಿ,VBD,NULL,kerini
scolded,ನೆರಿನಿ,VBD,NULL,nerini
drank,ಪರಿನಿ,VBD,NULL,parini
gave,ಕೊರಿನಿ,VBD,NULL,korini
wrote,ಬರೆಯಿನಿ,VBD,NULL,bareyini
left,ಬುಡಿನಿ,VBD,NULL,budini
cooked,ಬೆಯ್ತಿನಿ,VBD,NULL,beytini
grazed,ಮೆಯಿನಿ,VBD,NULL,meyini
have come,ಬತ್ತದ್ದ್,VBN,NULL,battd
have done,ಮಲ್ತದ್ದ್,VBN,NULL,maltd
have slept,ಜತ್ತ್ ದ್ದ್,VBN,NULL,jettd
have played,ಗೊಬ್ಬುದ್,VBN,NULL,gobbud
have given,ಕೊರ್ದ್,VBN,NULL,kord
have bought,ದೆತ್ತೊಂದ್,VBN,NULL,dettond
have been,ಇತ್ತದ್ದ,VBN,NULL,ittd
have become,ಆದ್,VBN,NULL,ad
going,ಪೊಪಿನಿ,VBG,NULL,popini
looking,ತೂಪಿನಿ,VBG,NULL,tupini
keeping,ದೀಪಿನಿ,VBG,NULL,dipini
bathing,ಮೀಪಿನಿ,VBG,NULL,mipini
dying,ಸೈಪಿನಿ,VBG,NULL,saipini
telling,ಪನ್ಪಿನಿ,VBG,NULL,panpini
killing,ಕೆರ್ಪಿನಿ,VBG,NULL,kerpini
scolding,ನೇರ್ಪಿನಿ,VBG,NULL,nerpini
drinking,ಪರ್ಪಿನಿ,VBG,NULL,parpini
giving,ಕೊರ್ಪಿನಿ,VBG,NULL,korpini
writing,ಬರೆಪಿನಿ,VBG,NULL,barepini
leaving,ಬುಡ್ಪಿನಿ,VBG,NULL,budpini
cooking,ಬೇಯ್ಪಿನಿ,VBG,NULL,beypini
grazing,ಮೆಪಿನಿ,VBG,NULL,mepini
leftside,ದತ್ತಮೇಯ್,IN,NULL,dattamey
rightside,ಬಲತ್ತಮೇಯ್,IN,NULL,balattamey
around,ಸುತ್ತ,IN,NULL,sutta
middle,ನಡುಟು,IN,NULL,nadutu
under,ಅಡಿ,IN,NULL,adi
where,ಒಲ್ಪ,WRB,NULL,olpa
there,ಅಲ್ಪ,WRB,NULL,alpa
here,ಮುಲ್ಪ,WRB,NULL,mulpa
when,ಏಪ,WRB,NULL,epa
today,ಇನಿ,WRB,NULL,ini
now,ಇತ್ತೆ,WRB,NULL,ittae
then,ಅಪಗ,WRB,NULL,apaga
that day,ಆನಿ,WRB,NULL,ani
yesterday,ಕೋಡೆ,WRB,NULL,kodae
tomorrow,ಎಲ್ಲೇ,WRB,NULL,ellae
later,ಬೊಕ್ಕ,WRB,NULL,bokka
soon,ಬೇಗ,WRB,NULL,bega
again,ಮತ್ತೆ,WRB,NULL,magtae
still,ನನಲ,WRB,NULL,nanala
before,ದುಂಬು,WRB,NULL,dumbu
lion,ಸಿಂಹ,NN,neuter,simha
tiger,ಪಿಳಿ,NN,neuter,pili
bear,ಕರಡಿ,NN,neuter,karadi
camel,ವೊಟ್ಟೆ,NN,neuter,vontae
dog,ನಾಯಿ,NN,neuter,nayi
dear,ಜಿಂಕೆ,NN,neuter,jinkae
elephant,ಆನೆ,NN,neuter,anae
monkey,ಮಂಗಾ,NN,neuter,manga
ant,ಪಿಜಿನ್,NN,neuter,pijin
snake,ಉಚ್ಚು,NN,neuter,uchchu
frog,ಕಪ್ಪೆ,NN,neuter,kappae
donkey,ಕತ್ತೆ,NN,neuter,kattae
pig,ಪಂಜಿ,NN,neuter,panji
horse,ಕುದುರೆ,NN,neuter,kudurae
rat,ಎಲಿ,NN,neuter,eli
lions,ಸಿಂಹಲು,NNS,neuter,simhalu
tigers,ಪಿಲಿಕುಲು,NNS,neuter,pilikulu
dogs,ನಾಯಿಲು,NNS,neuter,nayilu
cats,ಪುಚ್ಚೆಲು,NNS,neuter,puchchelu
rats,ಎಲಿಕುಲು,NNS,neuter,elikulu
pigs,ಪಂಜಿಲು,NNS,neuter,panjilu
what,ದಾದಾ,WP,NULL,dada
who,ಎರ್,WP,NULL,er
which,ಒವ್,WDT,NULL,ov
what,ಎಂಚಿನ,WP,NULL,enchina
whose,ಎರ್ನ,WP$,NULL,erna
crow,ಕಕ್ಕೆ,NN,neuter,kakkae
rooster,ಪೂಂಜೆ,NN,masculine,punje
parrot,ಗಿಳಿ,NN,neuter,gili
sparrow,ಗುರ್ಬಿ,NN,neuter,gurbi
duck,ಬಾತ್,NN,neuter,batt
crane,ಕೊರುಂಗು,NN,neuter,korungu
pigeon,ಪುದ,NN,neuter,puda
heron,ಕೊಕ್ಕರೆ,NN,neuter,kokkarae
cuckoo,ಕೋಗಿಲೆ,NN,neuter,kogilae
owl,ಗುಮ್ಮೆ,NN,neuter,gummae
hen,ಕೋರಿ,NN,feminine,kori
colours,ಬನ್ನಲೋ,NNS,neuter,bannolu
red,ಕೆಂಪು,NN,neuter,kempu
orange,ಕೇಸರಿ,NN,neuter,kesari
yelllow,ಮಂಜಲ್,NN,neuter,manjal
green,ಪಚ್ಛೆ,NN,neuter,pachchae
blue,ನೀಲಿ,NN,neuter,nili
pink,ಗುಲಾಬಿ,NN,neuter,gulabi
white,ಬೊಲ್ದು,NN,neuter,boldu
purple,ನೇರಳೆ,NN,neuter,neralae
black,ಕಪ್ಪು,NN,neuter,kappu
wind,ಗಾಳಿ,NN,neuter,gali
storm,ಬಿರುಗಾಳಿ,NN,neuter,birugali
rain,ಬರ್ಸ,NN,neuter,barsa
cold,ಚಳಿ,NN,neuter,chali
sunny,ದೊಂಬು,NN,neuter,dombu
hot,ಸೆಕೆ,NN,neuter,sekae
sweat,ಬೆಗರ್,NN,neuter,begar
lightning,ಮೆಂಚಿ,NN,neuter,menchi
thunder,ತೆಡಿಲ್,NN,neuter,tedil
banana,ಪರಂದ್,NN,neuter,parnd
fruits,ಪಲವಸ್ತುಳು,NNS,neuter,palavastulu
jackfruit,ಪೆಲಕಾಯ್,NN,neuter,pelakay
mango,ಕುಕ್ಕು,NN,neuter,kukku
sapotilla,ಚಿಕ್ಕು,NN,neuter,chikku
guava,ಪೆರಂಕಾಯ್,NN,neuter,perankay
orange,ಚಿತ್ತೂರ್ಲಿ,NN,neuter,chitturli
coconut,ತಾರಾಯ್,NN,neuter,taray
lime,ಲಿಂಬೆಪುಳಿ,NN,neuter,limbaepuli
apple,ಎಪ್ಪುಲ್,NN,neuter,eppul
cucumber,ತೆಕ್ಕರೆ,NN,neuter,tekkarae
bittergourd,ಕಂಚಲ,NN,neuter,kanchala
drumsticks,ನುರ್ಗೆ,NN,neuter,nurgae
greenchilli,ಕಾಯ್ಮುಂಚಿ,NN,neuter,kaymunchi
potato,ಬಟಾಟೆ,NN,neuter,batatae
chilli,ಮುಂಚೆ,NN,neuter,munchi
onion,ನೀರುಳ್ಳಿ,NN,neuter,nirulli
ginger,ಸುಂಟಿ,NN,neuter,sunti
garlic,ಬೊಳ್ಳುಳಿ,NN,neuter,bolluli
chickpeas,ಕಡ್ಲೆ,NN,neuter,kadlae
